Time,State
1657188144,start
1941313.9983871,end
1941313.9984054,end
1941313.9984197,end
1941313.9984251,end
1941313.9984298,end
1941313.99844,end
1941313.9984482,end
1941313.998453,end
1941313.9984578,end
1941313.998462,end
1941313.9984649,end
1941313.9984678,end
1941313.9984707,end
1941313.9984734,end
1941313.998476,end
1941313.998479,end
1941313.9984819,end
1941313.9984847,end
1941313.9984885,end
1941313.9984914,end
1941313.9984944,end
1941313.9984973,end
1941313.9985002,end
1941313.9985039,end
1941313.9985067,end
1941313.9985097,end
1941313.9985126,end
1941313.9985155,end
1941313.9985185,end
1941313.9985212,end
1941313.9985242,end
1941313.9985271,end
1941313.9985301,end
1941313.9985329,end
1941313.9985357,end
1941313.9985384,end
1941313.9985413,end
1941313.998544,end
1941313.9985468,end
1941313.9985497,end
1941313.9985525,end
1941313.9985554,end
1941313.9985617,end
1941313.9985692,end
1941313.9985715,end
1941313.9985736,end
1941313.998576,end
1941313.9985836,end
1941313.9985947,end
1941313.9985983,end
1941313.9986013,end
1941313.9986042,end
1941313.9986072,end
1941313.9986146,end
1941313.9986256,end
1941313.9986291,end
1941313.998633,end
1941313.9986354,end
1941313.9986426,end
1941313.9986538,end
1941313.9986573,end
1941313.998661,end
1941313.9986633,end
1941313.998671,end
1941313.9986817,end
1941313.9986852,end
1941313.998689,end
1941313.9986945,end
1941313.9987059,end
1941313.998713,end
1941313.9987156,end
1941313.9987215,end
1941313.9987568,end
1941314.5828853,end
1941314.5829042,end
1941314.5829091,end
1941314.5829131,end
1941314.5829171,end
1941314.5829211,end
1941314.5829249,end
1941314.5829289,end
1941314.5829328,end
1941314.5829368,end
1941314.5829407,end
1941314.5829474,end
1941314.5829515,end
1941314.5831946,end
1941314.5832052,end
1941314.5832098,end
1941314.5832139,end
1941314.5832184,end
1941314.5832225,end
1941314.5832264,end
1941314.5832304,end
1941314.5832351,end
1941314.583239,end
1941314.5832428,end
1941314.5832473,end
1941314.5832512,end
1941314.5832553,end
1941314.5832599,end
1941314.583264,end
1941314.5832678,end
1941314.5832723,end
1941314.5832762,end
1941314.5832801,end
1941314.5832846,end
1941314.5832894,end
1941314.5832937,end
1941314.5832992,end
1941314.583303,end
1941314.5833076,end
1941314.5833116,end
1941314.5833155,end
1941314.58332,end
1941314.5833243,end
1941314.5833288,end
1941314.5833334,end
1941314.5833372,end
1941314.5833417,end
1941314.5833457,end
1941314.5833497,end
1941314.5833543,end
1941314.5833583,end
1941314.5833626,end
1941314.5833667,end
1941314.5833706,end
1941314.5833753,end
1941314.5833793,end
1941314.5833837,end
1941314.5833878,end
1941314.5833918,end
1941314.5833963,end
1941314.5834002,end
1941314.5834047,end
1941314.5834087,end
1941314.583415,end
1941314.5834191,end
1941314.5834231,end
1941314.583428,end
1941314.5834321,end
1941314.5834366,end
1941314.5834405,end
1941314.5834454,end
1941314.5834493,end
1941314.5834538,end
1941315.1204941,end
1941315.120509,end
1941315.1205131,end
1941315.1205167,end
1941315.1205203,end
1941315.1205472,end
1941315.120551,end
1941315.1205546,end
1941315.1205587,end
1941315.1205625,end
1941315.1205661,end
1941315.1205697,end
1941315.1205734,end
1941315.120577,end
1941315.1205806,end
1941315.1205842,end
1941315.1205879,end
1941315.1205915,end
1941315.1205976,end
1941315.1206034,end
1941315.120607,end
1941315.1206108,end
1941315.1206159,end
1941315.1206196,end
1941315.1206234,end
1941315.1206286,end
1941315.1206326,end
1941315.1206379,end
1941315.1206428,end
1941315.1206481,end
1941315.120654,end
1941315.1206595,end
1941315.1206632,end
1941315.1206684,end
1941315.1206858,end
1941315.1206908,end
1941315.1207099,end
1941315.1207152,end
1941315.120719,end
1941315.1207242,end
1941315.1207302,end
1941315.1207356,end
1941315.1207394,end
1941315.1207448,end
1941315.1207484,end
1941315.120752,end
1941315.1207685,end
1941315.1207721,end
1941315.1207756,end
1941315.1207791,end
1941315.1208053,end
1941315.1208112,end
1941315.1208166,end
1941315.1208203,end
1941315.1208241,end
1941315.1208293,end
1941315.1208328,end
1941315.1208375,end
1941315.1208408,end
1941315.1208459,end
1941315.1208635,end
1941315.1208686,end
1941315.1208879,end
1941315.1208931,end
1941315.1208971,end
1941315.1209022,end
1941315.120908,end
1941315.1209134,end
1941315.1209172,end
1941315.1209224,end
1941315.1209263,end
1941315.1209445,end
1941315.1209484,end
1941315.6552391,end
1941315.6552569,end
1941315.6552628,end
1941315.6552691,end
1941315.6552738,end
1941315.6552773,end
1941315.655281,end
1941315.6552845,end
1941315.6552886,end
1941315.6552949,end
1941315.6553011,end
1941315.6553053,end
1941315.6553084,end
1941315.6553118,end
1941315.655315,end
1941315.6553181,end
1941315.6553215,end
1941315.6553255,end
1941315.6553303,end
1941315.6553382,end
1941315.6553515,end
1941315.6553618,end
1941315.6553694,end
1941315.6553762,end
1941315.6553883,end
1941315.6554213,end
1941315.6554503,end
1941315.6554664,end
1941315.6554808,end
1941315.6554943,end
1941315.6555063,end
1941315.6555134,end
1941315.6555176,end
1941315.6555236,end
1941315.6555277,end
1941315.6555319,end
1941315.6555378,end
1941315.6555418,end
1941315.6555479,end
1941315.6555531,end
1941315.655559,end
1941315.6555643,end
1941315.65557,end
1941315.6555738,end
1941315.655579,end
1941315.6555827,end
1941315.6555865,end
1941315.655591,end
1941315.6555949,end
1941315.6556003,end
1941315.6556047,end
1941315.6556095,end
1941315.655615,end
1941315.6556196,end
1941315.6556235,end
1941315.6556289,end
1941315.6556333,end
1941315.6556367,end
1941315.6556401,end
1941315.6556435,end
1941315.6556468,end
1941315.6556526,end
1941315.6556615,end
1941315.6556661,end
1941315.655676,end
1941315.6556881,end
1941315.6556972,end
1941315.6557037,end
1941315.6557127,end
1941315.6557187,end
1941315.655727,end
1941315.6557332,end
1941315.6557412,end
1941316.2889445,end
1941316.2889611,end
1941316.2889662,end
1941316.288973,end
1941316.2889782,end
1941316.2889828,end
1941316.2889873,end
1941316.2889919,end
1941316.2889974,end
1941316.2890018,end
1941316.289006,end
1941316.2890094,end
1941316.2890134,end
1941316.2890172,end
1941316.2890235,end
1941316.2890279,end
1941316.2890368,end
1941316.2890409,end
1941316.2890445,end
1941316.2890494,end
1941316.2890628,end
1941316.2890758,end
1941316.2890893,end
1941316.2891014,end
1941316.2891088,end
1941316.2891143,end
1941316.289121,end
1941316.2891302,end
1941316.2891386,end
1941316.2891499,end
1941316.2891613,end
1941316.2891705,end
1941316.2891773,end
1941316.2891851,end
1941316.2891879,end
1941316.28919,end
1941316.2891921,end
1941316.2891952,end
1941316.2892068,end
1941316.2892137,end
1941316.2892192,end
1941316.2892248,end
1941316.2892291,end
1941316.2892349,end
1941316.2892388,end
1941316.289244,end
1941316.2892477,end
1941316.2892519,end
1941316.2892623,end
1941316.2892692,end
1941316.2892791,end
1941316.2892841,end
1941316.2892898,end
1941316.2892944,end
1941316.2892995,end
1941316.2893062,end
1941316.2893181,end
1941316.2893264,end
1941316.2893304,end
1941316.2893355,end
1941316.28934,end
1941316.2893454,end
1941316.289354,end
1941316.2893641,end
1941316.2893749,end
1941316.2893852,end
1941316.2893987,end
1941316.2894089,end
1941316.289416,end
1941316.289429,end
1941316.2894422,end
1941316.2894507,end
1941316.2894532,end
1941316.825158,end
1941316.8251791,end
1941316.8251886,end
1941316.8251962,end
1941316.8252022,end
